id,id_genre
tm80339,0
tm80339,8
ts44053,17
ts4866,5
ts4866,2
ts4866,13
tm96595,5
tm96595,17
tm96595,0
tm96595,13
tm170169,16
tm170169,10
tm170169,14
tm52352,11
tm52352,4
tm175687,17
tm175687,4
tm175687,9
tm181366,5
tm49405,1
tm49405,0
tm49405,8
tm89764,8
tm89764,1
tm89764,0
tm89764,2
tm89936,2
tm89936,16
tm89936,8
tm89936,0
tm22342,5
tm22342,16
tm22342,0
tm22342,3
tm62369,16
tm62369,0
tm62369,3
tm103133,16
tm103133,13
tm103133,5
tm75544,5
tm75544,16
tm75544,15
ts70843,5
ts70843,13
ts70843,2
tm102848,5
tm102848,2
tm77348,5
tm77348,2
tm77348,13
ts29199,1
ts29199,2
tm135795,5
tm135795,13
tm87672,5
tm87672,7
tm87672,13
tm138902,8
tm138902,0
tm138902,16
tm138902,1
tm105278,1
tm105278,0
tm105278,13
tm105278,2
tm81864,0
tm81864,3
tm81864,5
tm81864,2
tm149209,5
tm149209,16
tm149209,0
tm149209,3
tm95434,2
tm95434,5
tm95434,13
tm30289,2
tm30289,4
tm38454,2
tm38454,4
tm76029,5
tm76029,6
tm76029,17
tm76029,13
tm155774,5
tm85549,4
tm85549,5
tm85549,13
tm85549,16
tm85549,0
tm85549,3
tm76399,13
tm76399,5
tm80059,1
tm80059,0
tm80059,7
tm80059,8
tm96037,0
tm96037,1
tm96037,8
ts42914,2
ts42914,7
ts42914,8
ts42914,13
ts42914,0
ts42914,1
ts42914,6
tm65142,2
tm65142,5
tm65142,1
tm65142,0
tm34524,2
tm34524,1
tm34524,0
tm34524,5
tm34524,8
ts72322,5
ts72322,0
tm173826,1
tm173826,6
tm173826,2
tm173826,7
tm173826,8
ts74931,0
ts74931,7
ts74931,1
ts74931,2
tm70222,0
tm70222,5
tm70222,3
tm70222,16
tm83175,5
tm83175,2
tm83175,3
tm83175,13
tm104349,16
tm104349,0
tm104349,3
tm104349,5
ts44663,1
ts44663,5
ts44663,2
ts44663,6
tm25029,5
tm25029,13
ts121176,1
ts121176,2
ts121176,7
ts121176,8
ts121176,10
ts121176,11
ts121176,14
tm51493,2
tm51493,5
tm29731,2
tm29731,5
tm29731,13
tm111226,0
tm111226,5
tm111226,16
tm111226,2
tm111226,3
tm103732,5
tm112235,5
tm112235,0
tm112235,17
tm91005,2
tm91005,5
tm91005,4
tm91005,6
tm146887,5
tm146887,2
tm77863,2
tm77863,5
tm77863,13
ts23808,4
ts23808,2
tm129763,2
tm129763,5
tm98475,5
tm98475,7
tm98475,2
tm110923,5
tm110923,2
tm110923,13
tm110923,17
ts39604,5
tm598375,1
tm598375,8
tm598375,0
tm85243,2
tm22558,2
tm22558,5
tm22558,7
tm33729,5
tm33729,16
tm33729,2
tm93004,3
tm93004,0
tm93004,5
tm93004,16
tm134140,13
tm134140,2
tm334293,2
tm334293,13
tm97982,5
tm97982,2
tm97982,3
tm166247,16
tm171813,2
tm171813,4
tm152413,5
tm25842,4
tm334461,5
tm334461,2
tm334461,16
tm334461,0
tm364670,0
tm364670,2
tm364670,13
tm85563,5
tm85563,6
tm80487,1
tm27672,0
tm27672,13
tm27672,5
tm341256,2
tm254229,2
tm74572,0
tm74572,5
